diac_count,num_sentences,pct,num_sentences_no_tanween,pct_no_tanween
65,39.0,0.06,45.0,0.06
66,35.0,0.05,42.0,0.06
67,58.0,0.08,44.0,0.06
68,44.0,0.06,31.0,0.04
69,35.0,0.05,39.0,0.06
70,53.0,0.08,44.0,0.06
71,34.0,0.05,33.0,0.05
72,40.0,0.06,39.0,0.06
73,34.0,0.05,40.0,0.06
74,42.0,0.06,32.0,0.05
75,33.0,0.05,36.0,0.05
76,35.0,0.05,26.0,0.04
77,23.0,0.03,26.0,0.04
78,32.0,0.05,22.0,0.03
79,27.0,0.04,18.0,0.03
80,32.0,0.05,26.0,0.04
81,27.0,0.04,17.0,0.02
82,17.0,0.02,18.0,0.03
83,22.0,0.03,22.0,0.03
84,17.0,0.02,23.0,0.03
85,23.0,0.03,15.0,0.02
86,22.0,0.03,14.0,0.02
87,13.0,0.02,24.0,0.03
88,18.0,0.03,23.0,0.03
89,14.0,0.02,19.0,0.03
90,20.0,0.03,14.0,0.02
91,18.0,0.03,15.0,0.02
92,21.0,0.03,13.0,0.02
93,10.0,0.01,20.0,0.03
94,14.0,0.02,4.0,0.01
95,17.0,0.02,18.0,0.03
96,9.0,0.01,10.0,0.01
97,11.0,0.02,14.0,0.02
98,12.0,0.02,16.0,0.02
99,16.0,0.02,9.0,0.01
100,14.0,0.02,16.0,0.02
101,11.0,0.02,4.0,0.01
102,12.0,0.02,12.0,0.02
103,13.0,0.02,8.0,0.01
104,15.0,0.02,12.0,0.02
105,12.0,0.02,9.0,0.01
106,5.0,0.01,4.0,0.01
107,6.0,0.01,5.0,0.01
108,6.0,0.01,10.0,0.01
109,6.0,0.01,9.0,0.01
110,10.0,0.01,8.0,0.01
111,4.0,0.01,8.0,0.01
112,9.0,0.01,3.0,0.0
113,5.0,0.01,6.0,0.01
114,6.0,0.01,5.0,0.01
115,10.0,0.01,8.0,0.01
116,6.0,0.01,3.0,0.0
117,2.0,0.0,7.0,0.01
118,4.0,0.01,3.0,0.0
119,7.0,0.01,4.0,0.01
120,5.0,0.01,3.0,0.0
121,5.0,0.01,5.0,0.01
122,5.0,0.01,7.0,0.01
123,4.0,0.01,3.0,0.0
124,1.0,0.0,4.0,0.01
125,6.0,0.01,2.0,0.0
126,3.0,0.0,2.0,0.0
127,5.0,0.01,2.0,0.0
128,4.0,0.01,8.0,0.01
129,6.0,0.01,2.0,0.0
130,4.0,0.01,4.0,0.01
131,1.0,0.0,3.0,0.0
132,3.0,0.0,2.0,0.0
133,3.0,0.0,3.0,0.0
134,2.0,0.0,2.0,0.0
135,2.0,0.0,4.0,0.01
136,5.0,0.01,5.0,0.01
137,0.0,0.0,1.0,0.0
138,5.0,0.01,4.0,0.01
139,5.0,0.01,1.0,0.0
140,3.0,0.0,2.0,0.0
141,2.0,0.0,2.0,0.0
142,0.0,0.0,3.0,0.0
143,3.0,0.0,4.0,0.01
144,5.0,0.01,1.0,0.0
145,1.0,0.0,2.0,0.0
146,3.0,0.0,2.0,0.0
147,1.0,0.0,0.0,0.0
148,2.0,0.0,0.0,0.0
150,1.0,0.0,1.0,0.0
151,1.0,0.0,1.0,0.0
152,2.0,0.0,2.0,0.0
153,1.0,0.0,2.0,0.0
154,2.0,0.0,2.0,0.0
155,1.0,0.0,4.0,0.01
156,1.0,0.0,0.0,0.0
158,4.0,0.01,2.0,0.0
159,2.0,0.0,2.0,0.0
160,1.0,0.0,1.0,0.0
162,1.0,0.0,1.0,0.0
164,2.0,0.0,1.0,0.0
165,2.0,0.0,2.0,0.0
166,1.0,0.0,1.0,0.0
167,0.0,0.0,1.0,0.0
168,2.0,0.0,3.0,0.0
169,2.0,0.0,0.0,0.0
170,1.0,0.0,3.0,0.0
171,0.0,0.0,1.0,0.0
172,4.0,0.01,0.0,0.0
173,1.0,0.0,0.0,0.0
174,1.0,0.0,0.0,0.0
175,0.0,0.0,2.0,0.0
177,1.0,0.0,0.0,0.0
178,1.0,0.0,1.0,0.0
180,1.0,0.0,1.0,0.0
181,1.0,0.0,1.0,0.0
182,1.0,0.0,1.0,0.0
185,1.0,0.0,0.0,0.0
186,0.0,0.0,2.0,0.0
187,2.0,0.0,1.0,0.0
190,2.0,0.0,1.0,0.0
191,0.0,0.0,1.0,0.0
192,0.0,0.0,1.0,0.0
195,1.0,0.0,2.0,0.0
197,2.0,0.0,3.0,0.0
198,1.0,0.0,0.0,0.0
199,0.0,0.0,1.0,0.0
200,1.0,0.0,0.0,0.0
201,1.0,0.0,0.0,0.0
202,1.0,0.0,1.0,0.0
204,1.0,0.0,0.0,0.0
205,0.0,0.0,2.0,0.0
208,1.0,0.0,0.0,0.0
209,0.0,0.0,1.0,0.0
212,1.0,0.0,0.0,0.0
214,1.0,0.0,0.0,0.0
215,2.0,0.0,0.0,0.0
226,0.0,0.0,1.0,0.0
227,1.0,0.0,0.0,0.0
252,0.0,0.0,1.0,0.0
256,1.0,0.0,0.0,0.0
449,0.0,0.0,1.0,0.0
468,1.0,0.0,0.0,0.0
